,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,52.29085826873779,9.48549095582135,0.8990523815155029,0.026792371011066685,100,{'max_depth': 100},0.9260810284378652,0.9267609748971294,0.9286114289888242,0.9271511441079396,0.0010692382792971793,1
1,52.271912018458046,0.5313536887119162,0.9325753847757975,0.027447570872062666,200,{'max_depth': 200},0.9251314764316323,0.9269801076185142,0.9281488154659006,0.9267534665053491,0.0012422045879704644,5
2,54.21024489402771,4.7046670447465875,0.9759685198465983,0.08363921913814168,300,{'max_depth': 300},0.9255453837164005,0.9270044556986682,0.9276131577025152,0.9267209990391946,0.0008676339753463968,6
3,49.64769093195597,0.5892049034753684,0.9043689568837484,0.005346203938021221,400,{'max_depth': 400},0.9256914686404363,0.9263470575345134,0.9279783789048234,0.9266723016932578,0.0009615360840647022,7
4,49.02422102292379,0.3922617869856357,0.93231733640035,0.04047953251825949,500,{'max_depth': 500},0.925034086482275,0.9266635825765138,0.927442721141438,0.9263801300667422,0.001003540141798727,9
5,49.045249223709106,0.02534779331457026,0.8888500531514486,0.021430687737046754,600,{'max_depth': 600},0.9265923256719907,0.9275401134620536,0.9272966326605148,0.9271430239315196,0.00040188900206042524,3
6,49.21369496981303,0.33111698672376655,0.9574627081553141,0.03005424862224182,700,{'max_depth': 700},0.9251558239189716,0.9266879306566678,0.9273940249811302,0.9264125931855899,0.0009342533706644148,8
7,48.85449894269308,0.5769590278032121,0.8975428740183512,0.011360720074040475,800,{'max_depth': 800},0.9257401636151149,0.9273940249811302,0.9282949039468238,0.9271430308476897,0.0010579612727257372,2
8,50.31630651156107,2.191297712049026,0.9125945568084717,0.01645946625286208,900,{'max_depth': 900},0.9257888585897935,0.9275157653818996,0.9271992403398992,0.9268346214371975,0.0007506716882504158,4
9,48.7137094338735,0.3951959830152443,0.8624232610066732,0.03348634086722714,1000,{'max_depth': 1000},0.9255210362290611,0.9271018480192836,0.9262009690535902,0.9262746177673117,0.00064746149373341,10
